method,top_k,n_queries,total_true,hits,pair_coverage,query_any_hit,query_full_hit,zero_hit_queries,avg_hits_per_query,median_hits_per_query,oracle_pos_f1_fixed14
dense_e5_v5,20,500,6570,1341,0.20410958904109588,0.77,0.22,115,2.682,2.0,0.1958732498157701
dense_e5_v5,50,500,6570,2292,0.34885844748858447,0.848,0.326,76,4.584,3.0,0.3040530582166544
dense_e5_v5,100,500,6570,3086,0.4697108066971081,0.89,0.404,55,6.172,4.0,0.3789240972733972
dense_e5_v5,200,500,6570,3851,0.5861491628614917,0.936,0.51,32,7.702,4.0,0.4325718496683861
