method,top_k,n_queries,total_true,hits,pair_coverage,query_any_hit,query_full_hit,zero_hit_queries,avg_hits_per_query,median_hits_per_query,oracle_pos_f1_fixed14
dense_e5_v5,20,50,753,141,0.18725099601593626,0.84,0.26,8,2.82,2.0,0.19408121128699243
dense_e5_v5,50,50,753,254,0.33731739707835323,0.9,0.38,5,5.08,3.0,0.29593943565037856
dense_e5_v5,100,50,753,355,0.4714475431606906,0.92,0.46,4,7.1,4.0,0.364762560220234
dense_e5_v5,200,50,753,443,0.5883134130146083,0.94,0.54,3,8.86,5.0,0.40605643496214733
